query,regime,nominal_concentration_M,world,withheld_reference_percent,mean_across_worlds_percent,sample_sd_across_worlds_percent,n_worlds,source_observation_min_percent,source_observation_max_percent,minimum_source_assay_concentration_M
Q07,Other nine,0.08333333333333333,W04,6.811264902353287,7.0523181557655334,0.2573996971460675,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q07,Other nine,0.08333333333333333,W05,7.0230184495449075,7.0523181557655334,0.2573996971460675,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q08,Dilute three,1.3333333333333333e-05,W01,71.60339117050171,58.31235933303833,10.652439880698537,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q08,Dilute three,1.3333333333333333e-05,W02,65.46313166618347,58.31235933303833,10.652439880698537,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q08,Dilute three,1.3333333333333333e-05,W03,57.967978715896606,58.31235933303833,10.652439880698537,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q08,Dilute three,1.3333333333333333e-05,W04,51.73070788383484,58.31235933303833,10.652439880698537,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q08,Dilute three,1.3333333333333333e-05,W05,44.796587228775024,58.31235933303833,10.652439880698537,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q09,Dilute three,0.00016666666666666666,W01,33.47137629985809,25.122504234313965,6.1764593403018715,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q09,Dilute three,0.00016666666666666666,W02,28.769965767860413,25.122504234313965,6.1764593403018715,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q09,Dilute three,0.00016666666666666666,W03,24.457126259803772,25.122504234313965,6.1764593403018715,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q09,Dilute three,0.00016666666666666666,W04,21.03007346391678,25.122504234313965,6.1764593403018715,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q09,Dilute three,0.00016666666666666666,W05,17.883979380130768,25.122504234313965,6.1764593403018715,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q10,Other nine,6.666666666666667,W01,6.969298869371414,7.282729685306549,0.1986882626132726,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q10,Other nine,6.666666666666667,W02,7.466239780187607,7.282729685306549,0.1986882626132726,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q10,Other nine,6.666666666666667,W03,7.258645445108414,7.282729685306549,0.1986882626132726,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q10,Other nine,6.666666666666667,W04,7.442056089639664,7.282729685306549,0.1986882626132726,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q10,Other nine,6.666666666666667,W05,7.277408242225647,7.282729685306549,0.1986882626132726,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q11,Other nine,0.5333333333333333,W01,6.843323409557342,6.979363828897476,0.2691618198473083,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q11,Other nine,0.5333333333333333,W02,6.730689853429794,6.979363828897476,0.2691618198473083,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q11,Other nine,0.5333333333333333,W03,7.355378419160844,6.979363828897476,0.2691618198473083,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q11,Other nine,0.5333333333333333,W04,6.7992933094501495,6.979363828897476,0.2691618198473083,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q11,Other nine,0.5333333333333333,W05,7.168134152889253,6.979363828897476,0.2691618198473083,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q12,Other nine,0.13636363636363635,W01,7.172849476337433,7.0688334703445435,0.1176439277961416,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q12,Other nine,0.13636363636363635,W02,7.088398635387421,7.0688334703445435,0.1176439277961416,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q12,Other nine,0.13636363636363635,W03,7.131529599428177,7.0688334703445435,0.1176439277961416,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q12,Other nine,0.13636363636363635,W04,7.082647681236268,7.0688334703445435,0.1176439277961416,5,5.490948632359505,9.245739877223969,0.018518518518518517
Q12,Other nine,0.13636363636363635,W05,6.86874195933342,7.0688334703445435,0.1176439277961416,5,5.490948632359505,9.245739877223969,0.018518518518518517
