world,arm,batch,nominal_concentration,dissociation
W03,MisIndexed,3,0.05555555555555556,0.0631740540266037
W03,MisIndexed,4,0.05,0.0731247141957283
W03,MisIndexed,5,0.15,0.0793784037232399
W03,MisIndexed,6,0.3,0.07326465845108032
W03,MisIndexed,7,0.5,0.0777398869395256
W03,MisIndexed,8,1.0,0.07807258516550064
W03,MisIndexed,9,2.0,0.0786173865199089
W03,MisIndexed,10,0.5,0.06156972423195839
W03,MisIndexed,11,0.5,0.06826332211494446
W03,MisIndexed,12,0.5,0.0713900700211525
W04,Opaque,1,0.1,0.07558944076299667
W04,Opaque,2,0.3,0.07101302593946457
W04,Opaque,3,0.6,0.06738102436065674
W04,Opaque,4,0.8,0.0679381787776947
W04,Opaque,5,0.06666666666666667,0.07912444323301315
W04,Opaque,6,0.2,0.061917051672935486
W04,Opaque,7,0.4,0.06946497410535812
W04,Opaque,8,0.5333333333333333,0.07072122395038605
W04,Opaque,9,0.05,0.07328641414642334
W04,Opaque,10,0.15,0.0664600282907486
W04,Opaque,11,0.3,0.07692167162895203
W04,Opaque,12,0.4,0.07435660064220428
W04,Aligned,1,0.05555555555555556,0.08135434985160828
W04,Aligned,2,0.018518518518518517,0.07520154118537903
W04,Aligned,3,0.2777777777777778,0.0693354457616806
W04,Aligned,4,0.0925925925925926,0.05817173048853874
W04,Aligned,5,0.8333333333333334,0.07172990590333939
W04,Aligned,6,0.2777777777777778,0.073058120906353
W04,Aligned,7,1.0,0.08044672012329102
W04,Aligned,8,0.4166666666666667,0.06758240610361099
W04,Aligned,9,0.5,0.07457463443279266
W04,Aligned,10,0.125,0.072978176176548
W04,Aligned,11,1.0,0.07362791150808334
W04,Aligned,12,0.5,0.0681796595454216
W04,MisIndexed,1,0.01851851851851852,0.08221631497144699
W04,MisIndexed,2,0.01851851851851852,0.07802709937095642
W04,MisIndexed,3,0.06666666666666667,0.07138140499591827
W04,MisIndexed,4,0.2,0.06840182840824127
W04,MisIndexed,5,0.4,0.07008428126573563
W04,MisIndexed,6,0.6,0.07251115143299103
W04,MisIndexed,7,0.1,0.0705103799700737
W04,MisIndexed,8,0.2,0.0644204318523407
W04,MisIndexed,9,0.30000000000000004,0.0770796537399292
W04,MisIndexed,10,0.4,0.0581267848610878
W04,MisIndexed,11,0.6,0.07708407193422318
W04,MisIndexed,12,0.6666666666666667,0.06699270009994507
W05,Opaque,1,0.13333333333333333,0.0575142428278923
W05,Opaque,2,0.06666666666666667,0.05490948632359505
W05,Opaque,3,0.044444444444444446,0.06927422434091568
W05,Opaque,4,0.4,0.06793460249900818
W05,Opaque,5,0.2,0.06639517843723297
W05,Opaque,6,0.13333333333333333,0.05851614475250244
W05,Opaque,7,0.8,0.0747966468334198
W05,Opaque,8,0.4,0.06539962440729141
W05,Opaque,9,0.26666666666666666,0.06960145384073257
W05,Opaque,10,1.3333333333333335,0.06424188613891602
W05,Opaque,11,0.6666666666666667,0.06160561740398407
W05,Opaque,12,0.4444444444444445,0.06992277503013611
W05,Aligned,1,0.03333333333333333,0.0705091580748558
W05,Aligned,2,0.08333333333333334,0.07993113249540329
W05,Aligned,3,0.16666666666666669,0.06440316140651703
W05,Aligned,4,0.33333333333333337,0.07756262272596359
W05,Aligned,5,0.5,0.06544846296310425
W05,Aligned,6,0.6666666666666667,0.0739985778927803
W05,Aligned,7,0.25,0.06638805568218231
W05,Aligned,8,0.25,0.0797230675816536
W05,Aligned,9,0.25,0.07044466584920883
W05,Aligned,10,0.3125,0.06816666573286057
W05,Aligned,11,0.5,0.0705505758523941
W05,Aligned,12,0.8250000000000001,0.07669471204280853
W05,MisIndexed,1,0.01851851851851852,0.06660334020853043
W05,MisIndexed,2,0.018518518518518517,0.07553859800100327
W05,MisIndexed,3,0.16666666666666669,0.06624126434326172
W05,MisIndexed,4,0.05555555555555556,0.07552523910999298
W05,MisIndexed,5,0.5,0.07370632886886597
W05,MisIndexed,6,0.16666666666666666,0.06581011414527893
W05,MisIndexed,7,0.5,0.07406257092952728
W05,MisIndexed,8,0.25,0.07455011457204819
W05,MisIndexed,9,0.8333333333333334,0.07179702073335648
W05,MisIndexed,10,0.4166666666666667,0.07409459352493286
W05,MisIndexed,11,0.5,0.07792449742555618
W05,MisIndexed,12,0.5,0.06625287979841232
