id,world,arm,budget,conforming,crystal_yield_agent_mae_pp,crystal_yield_baseline_mae_pp,crystal_purity_agent_mae_pp,crystal_purity_baseline_mae_pp,purity_source_observed_mean,purity_source_observed_range,purity_reference_mean,purity_reference_range,purity_prediction_mean,purity_prediction_range,purity_signed_bias,purity_underestimated_queries,purity_queries
C-W03-B24-E-Aligned,W03,Aligned,24,True,11.797692518252424,21.724454035587303,6.459582857158806,0.43002806978992186,0.9868934974074364,"[0.9640650749206543, 1.0]",0.9854291619049214,"[0.9743082226829268, 0.99972730095456]",0.9208333333333334,"[0.89, 0.97]",-0.06459582857158806,12,12
C-W04-B24-E-Opaque,W04,Opaque,24,True,6.985820868607119,8.347675804649588,1.093746396609959,0.5503742389969573,0.9811406011382738,"[0.9540799856185913, 1.0]",0.9850132769684873,"[0.9752451105677643, 0.9994536920682282]",0.9786666666666667,"[0.94, 0.995]",-0.006346610301820617,6,12
C-W04-B24-E-Aligned,W04,Aligned,24,True,5.520360460569945,14.016698173615257,1.6305758540526571,0.4258136444004394,0.9867194468776385,"[0.9595831632614136, 1.0]",0.9850132769684873,"[0.9752451105677643, 0.9994536920682282]",0.9696666666666666,"[0.945, 0.985]",-0.015346610301820626,11,12
C-W04-B24-E-MisIndexed,W04,MisIndexed,24,True,6.047248295040405,8.873514541299244,8.001327696848728,0.5129864307951943,0.9880270386735598,"[0.9643015265464783, 1.0]",0.9850132769684873,"[0.9752451105677643, 0.9994536920682282]",0.9049999999999999,"[0.83, 0.98]",-0.08001327696848727,12,12
C-W04-B12-E-Opaque,W04,Opaque,12,True,13.96483096175683,15.369456506702225,0.7299288416987588,0.4853877593426999,0.9828804234663645,"[0.9657517075538635, 1.0]",0.9850132769684873,"[0.9752451105677643, 0.9994536920682282]",0.9806666666666667,"[0.965, 0.99]",-0.004346610301820615,7,12
C-W04-B12-E-Aligned,W04,Aligned,12,True,6.0394215282369315,19.366684056255146,7.001327696848724,0.48357759939456163,0.9829347282648087,"[0.9613816738128662, 1.0]",0.9850132769684873,"[0.9752451105677643, 0.9994536920682282]",0.915,"[0.88, 0.95]",-0.07001327696848725,12,12
C-W04-B12-E-MisIndexed,W04,MisIndexed,12,True,6.47231885101606,13.835707552167694,10.70966103018206,0.4156780401248468,0.9865674128135046,"[0.9711803793907166, 1.0]",0.9850132769684873,"[0.9752451105677643, 0.9994536920682282]",0.8779166666666667,"[0.82, 0.95]",-0.1070966103018206,12,12
C-W05-B12-E-Aligned,W05,Aligned,12,True,11.527696677893468,20.599170582480753,1.1233569860902146,0.4418502515471573,0.9853077530860901,"[0.967123806476593, 1.0]",0.9856637821665347,"[0.9750812738337952, 0.999622822303246]",0.9769166666666665,"[0.95, 0.99]",-0.008747115499868008,11,12
C-W05-B12-E-MisIndexed,W05,MisIndexed,12,True,9.333212096072756,18.659649597592676,11.733044883320133,0.4412286692505883,0.987309550245603,"[0.9757065176963806, 1.0]",0.9856637821665347,"[0.9750812738337952, 0.999622822303246]",0.8683333333333333,"[0.84, 0.94]",-0.11733044883320133,12,12
C-W05-B12-E-Opaque,W05,Opaque,12,True,14.863883591679258,21.76372414528084,0.6509769623227117,0.48820147241982564,0.98391721645991,"[0.9682705998420715, 1.0]",0.9856637821665347,"[0.9750812738337952, 0.999622822303246]",0.9809166666666665,"[0.965, 0.995]",-0.004747115499868004,10,12
C-W05-B24-E-Aligned,W05,Aligned,24,True,5.933212096072755,21.206764188396455,6.483044883320131,0.4392535203343438,0.9872502957781156,"[0.9641237854957581, 1.0]",0.9856637821665347,"[0.9750812738337952, 0.999622822303246]",0.9208333333333334,"[0.88, 0.965]",-0.06483044883320131,12,12
C-W05-B24-E-MisIndexed,W05,MisIndexed,24,True,8.154421395506379,14.219821921971961,3.133044883320133,0.44841744163797254,0.9851107373833656,"[0.9611496925354004, 1.0]",0.9856637821665347,"[0.9750812738337952, 0.999622822303246]",0.9543333333333334,"[0.91, 0.985]",-0.03133044883320133,12,12
C-W05-B24-E-Opaque,W05,Opaque,24,True,3.83891991177219,8.496058830287998,1.1040099927469469,0.6834846405868095,0.980057880282402,"[0.9625594019889832, 1.0]",0.9856637821665347,"[0.9750812738337952, 0.999622822303246]",0.9766666666666666,"[0.95, 0.985]",-0.008997115499868008,10,12
