participant_model,cell_id,cluster_id,task_id,world_seed,arm,status,eligible,selected_rank,normalized_regret,top1_selected,law_adequate,law_normalized_mae,mechanism_action_category,selected_minus_random_candidate_mean
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed1--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed1,reaction-safety-constrained,1,misindexed_nominal,completed_uncontaminated,True,3,0.43169053635335025,False,False,0.16057951358981432,inadequate_law__wrong_action,0.021531084552407265
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed1--opaque,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed1,reaction-safety-constrained,1,opaque,completed_uncontaminated,True,3,0.43169053635335025,False,True,0.04821831066907961,adequate_law__wrong_action,0.021531084552407265
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed2--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed2,reaction-safety-constrained,2,aligned_nominal,completed_uncontaminated,True,1,0.0,True,False,0.15565699887434797,inadequate_law__correct_action,0.16373221203684807
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed2--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed2,reaction-safety-constrained,2,misindexed_nominal,completed_uncontaminated,True,1,0.0,True,False,0.5911008613184094,inadequate_law__correct_action,0.16373221203684807
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed2--opaque,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed2,reaction-safety-constrained,2,opaque,completed_uncontaminated,True,2,0.18649736432338737,False,False,0.24219514543215873,inadequate_law__wrong_action,0.10579092428088188
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed3--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed3,reaction-safety-constrained,3,aligned_nominal,completed_uncontaminated,True,1,0.0,True,False,0.33690772185217,inadequate_law__correct_action,0.13197932951152325
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed3--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed3,reaction-safety-constrained,3,misindexed_nominal,completed_uncontaminated,True,3,0.4390725640835046,False,False,0.07211724913194777,inadequate_law__wrong_action,0.02882017008960247
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed3--opaque,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed3,reaction-safety-constrained,3,opaque,completed_uncontaminated,True,1,0.0,True,False,0.170458941308626,inadequate_law__correct_action,0.13197932951152325
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed4--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed4,reaction-safety-constrained,4,aligned_nominal,completed_uncontaminated,True,2,0.0980476396438578,False,False,0.15632142975610225,inadequate_law__wrong_action,0.0730290561914444
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed4--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed4,reaction-safety-constrained,4,misindexed_nominal,completed_uncontaminated,True,2,0.0980476396438578,False,False,0.24170625862193232,inadequate_law__wrong_action,0.0730290561914444
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed4--opaque,A_S_MULTI_TASK_OAD--reaction-safety-constrained--seed4,reaction-safety-constrained,4,opaque,completed_uncontaminated,True,2,0.0980476396438578,False,False,0.0851023403564621,inadequate_law__wrong_action,0.0730290561914444
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed0--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed0,reaction-to-crystallization,0,aligned_nominal,completed_uncontaminated,True,4,0.2510977319807738,False,False,0.1222409677454058,inadequate_law__wrong_action,0.022928031161427498
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed0--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed0,reaction-to-crystallization,0,misindexed_nominal,failed_missing_terminal_action_readout,False,,,,,,,
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed0--opaque,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed0,reaction-to-crystallization,0,opaque,completed_uncontaminated,True,1,0.0,True,False,0.23300363112054764,inadequate_law__correct_action,0.08012905903160572
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed1--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed1,reaction-to-crystallization,1,aligned_nominal,completed_uncontaminated,True,5,0.27458553593740875,False,False,0.10912239373207555,inadequate_law__wrong_action,-0.0010888949036598206
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed1--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed1,reaction-to-crystallization,1,misindexed_nominal,completed_uncontaminated,True,5,0.27458553593740875,False,False,0.12342443824055208,inadequate_law__wrong_action,-0.0010888949036598206
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed1--opaque,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed1,reaction-to-crystallization,1,opaque,failed_missing_terminal_action_readout,False,,,,,,,
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed2--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed2,reaction-to-crystallization,2,aligned_nominal,failed_missing_terminal_action_readout,False,,,,,,,
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed2--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed2,reaction-to-crystallization,2,misindexed_nominal,completed_uncontaminated,True,2,0.03165306284174657,False,False,0.06705023325633958,inadequate_law__wrong_action,0.05746505409479141
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed2--opaque,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed2,reaction-to-crystallization,2,opaque,completed_uncontaminated,True,7,0.6662226800855853,False,False,0.3689081345172541,inadequate_law__wrong_action,-0.06185799092054367
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed3--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed3,reaction-to-crystallization,3,aligned_nominal,completed_uncontaminated,True,7,0.8784176022771736,False,False,0.28239324418036266,inadequate_law__wrong_action,-0.10887389443814754
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed3--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed3,reaction-to-crystallization,3,misindexed_nominal,completed_uncontaminated,True,7,0.8784176022771736,False,False,0.19296363299544908,inadequate_law__wrong_action,-0.10887389443814754
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed3--opaque,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed3,reaction-to-crystallization,3,opaque,completed_uncontaminated,True,7,0.8784176022771736,False,False,0.07450534971803427,inadequate_law__wrong_action,-0.10887389443814754
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed4--aligned_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed4,reaction-to-crystallization,4,aligned_nominal,completed_uncontaminated,True,8,1.0,False,False,0.15188813368622214,inadequate_law__wrong_action,-0.1251128353178501
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed4--misindexed_nominal,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed4,reaction-to-crystallization,4,misindexed_nominal,completed_uncontaminated,True,1,0.0,True,False,0.25006588111424355,inadequate_law__correct_action,0.08757808431982994
deepseek_v4_flash,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed4--opaque,A_S_MULTI_TASK_OAD--reaction-to-crystallization--seed4,reaction-to-crystallization,4,opaque,completed_uncontaminated,True,1,0.0,True,False,0.26326051824726165,inadequate_law__correct_action,0.08757808431982994
