panel,system,goal,metric,field,world,arm,value12,value24,favorable_change,conforming12,conforming24,source12,source24
e,C,delivery,crystal_fines_fraction,coverage,C-W02,MisIndexed,50.0,50.0,0.0,True,True,C-W02-B12-E-MisIndexed,C-W02-B24-E-MisIndexed
e,C,delivery,crystal_fines_fraction,coverage,C-W03,Opaque,0.0,41.66666666666667,41.66666666666667,True,True,C-W03-B12-E-Opaque,C-W03-B24-E-Opaque
e,C,delivery,crystal_fines_fraction,coverage,C-W03,Aligned,58.333333333333336,50.0,-8.333333333333336,True,True,C-W03-B12-E-Aligned,C-W03-B24-E-Aligned
e,C,delivery,crystal_fines_fraction,coverage,C-W03,MisIndexed,41.66666666666667,41.66666666666667,0.0,True,True,C-W03-B12-E-MisIndexed,C-W03-B24-E-MisIndexed
e,C,delivery,crystal_fines_fraction,coverage,C-W04,Opaque,33.33333333333333,41.66666666666667,8.333333333333343,True,True,C-W04-B12-E-Opaque,C-W04-B24-E-Opaque
e,C,delivery,crystal_fines_fraction,coverage,C-W04,Aligned,41.66666666666667,25.0,-16.66666666666667,True,True,C-W04-B12-E-Aligned,C-W04-B24-E-Aligned
e,C,delivery,crystal_fines_fraction,coverage,C-W04,MisIndexed,41.66666666666667,41.66666666666667,0.0,True,True,C-W04-B12-E-MisIndexed,C-W04-B24-E-MisIndexed
e,C,delivery,crystal_fines_fraction,coverage,C-W05,Opaque,25.0,41.66666666666667,16.66666666666667,True,True,C-W05-B12-E-Opaque,C-W05-B24-E-Opaque
e,C,delivery,crystal_fines_fraction,coverage,C-W05,Aligned,0.0,33.33333333333333,33.33333333333333,True,True,C-W05-B12-E-Aligned,C-W05-B24-E-Aligned
e,C,delivery,crystal_fines_fraction,coverage,C-W05,MisIndexed,50.0,33.33333333333333,-16.66666666666667,True,True,C-W05-B12-E-MisIndexed,C-W05-B24-E-MisIndexed
f,C,delivery,crystal_yield,retest,C-W01,Opaque,0.4866395592689514,0.5037245154380798,0.017084956169128418,True,True,C-W01-B12-E-Opaque,C-W01-B24-E-Opaque
f,C,delivery,crystal_yield,retest,C-W01,Aligned,0.4841126799583435,0.525333046913147,0.04122036695480347,True,True,C-W01-B12-E-Aligned,C-W01-B24-E-Aligned
f,C,delivery,crystal_yield,retest,C-W01,MisIndexed,0.5316279530525208,0.5983132123947144,0.0666852593421936,True,True,C-W01-B12-E-MisIndexed,C-W01-B24-E-MisIndexed
f,C,delivery,crystal_yield,retest,C-W02,Opaque,0.0009122402989305556,0.5502532720565796,0.549341031757649,False,True,C-W02-B12-E-Opaque,C-W02-B24-E-Opaque
f,C,delivery,crystal_yield,retest,C-W02,Aligned,0.5846945643424988,0.4195736348628998,-0.165120929479599,True,True,C-W02-B12-E-Aligned,C-W02-B24-E-Aligned
f,C,delivery,crystal_yield,retest,C-W02,MisIndexed,0.0009122402989305556,0.5299320816993713,0.5290198414004408,True,True,C-W02-B12-E-MisIndexed,C-W02-B24-E-MisIndexed
f,C,delivery,crystal_yield,retest,C-W03,Opaque,0.47891488671302795,0.4233444035053253,-0.05557048320770264,True,True,C-W03-B12-E-Opaque,C-W03-B24-E-Opaque
f,C,delivery,crystal_yield,retest,C-W03,Aligned,0.48992788791656494,0.4572509527206421,-0.03267693519592285,True,True,C-W03-B12-E-Aligned,C-W03-B24-E-Aligned
f,C,delivery,crystal_yield,retest,C-W03,MisIndexed,0.5393956899642944,0.31727439165115356,-0.22212129831314087,True,True,C-W03-B12-E-MisIndexed,C-W03-B24-E-MisIndexed
f,C,delivery,crystal_yield,retest,C-W04,Opaque,0.45127740502357483,0.0009122402989305556,-0.4503651647246443,True,True,C-W04-B12-E-Opaque,C-W04-B24-E-Opaque
f,C,delivery,crystal_yield,retest,C-W04,Aligned,0.46395403146743774,0.41210493445396423,-0.05184909701347351,True,True,C-W04-B12-E-Aligned,C-W04-B24-E-Aligned
f,C,delivery,crystal_yield,retest,C-W04,MisIndexed,0.43929407000541687,0.0009122402989305556,-0.4383818297064863,True,True,C-W04-B12-E-MisIndexed,C-W04-B24-E-MisIndexed
f,C,delivery,crystal_yield,retest,C-W05,Opaque,0.451276570558548,0.24050486087799072,-0.21077170968055725,True,True,C-W05-B12-E-Opaque,C-W05-B24-E-Opaque
f,C,delivery,crystal_yield,retest,C-W05,Aligned,0.5036022067070007,0.5808473229408264,0.07724511623382568,True,True,C-W05-B12-E-Aligned,C-W05-B24-E-Aligned
f,C,delivery,crystal_yield,retest,C-W05,MisIndexed,0.4014912545681,0.43060705065727234,0.029115796089172363,True,True,C-W05-B12-E-MisIndexed,C-W05-B24-E-MisIndexed
