id,system,locus,goal,budget,arm,world,conforming,nominal,reference_target,retest,recovered,metric,mae,coverage,width,quality_pass,retest_purity
C-W04-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.43929407000541687,,crystal_purity,0.1070966103018206,0.16666666666666666,0.1875,1,
C-W04-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.43929407000541687,,crystal_size,0.028771824715285693,0.75,0.11083333333333334,1,
C-W04-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W04,True,0.8,noiseless_pre_sampling,0.43929407000541687,,crystal_yield,0.0647231885101606,0.8333333333333334,0.1775,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_fines_fraction,0.49554016786757865,0.0,0.3566666666666667,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_purity,0.011233569860902145,1.0,0.09041666666666666,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_size,0.1142912110049877,0.25,0.22833333333333336,1,
C-W05-B12-E-Aligned,C,E,delivery,12,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5036022067070007,,crystal_yield,0.11527696677893468,0.75,0.24250000000000002,1,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_fines_fraction,0.3072068345342453,0.5,0.3566666666666667,0,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_purity,0.11733044883320133,0.0,0.17499999999999996,0,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_size,0.18887454433832104,0.08333333333333333,0.26166666666666666,0,
C-W05-B12-E-MisIndexed,C,E,delivery,12,MisIndexed,C-W05,True,0.8,noiseless_pre_sampling,0.4014912545681,,crystal_yield,0.09333212096072756,0.6666666666666666,0.1729166666666667,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_fines_fraction,0.3355401678675787,0.25,0.3408333333333333,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_purity,0.006509769623227117,1.0,0.059000000000000025,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_size,0.05671888595330369,0.25,0.10416666666666667,0,
C-W05-B12-E-Opaque,C,E,delivery,12,Opaque,C-W05,True,0.8,noiseless_pre_sampling,0.451276570558548,,crystal_yield,0.14863883591679258,0.3333333333333333,0.20166666666666666,0,
C-W05-B24-E-Aligned,C,E,delivery,24,Aligned,C-W05,True,0.8,noiseless_pre_sampling,0.5808473229408264,,crystal_fines_fraction,0.313930922261704,0.3333333333333333,0.43083333333333335,1,
